Model;Region;Scenario;Variable;Unit;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
AIM/CGE;World;CPol;Total energy investment;Billion US$2015/yr;1498,411185;1574,178291;1658,720098;1791,459328;1917,331534;2010,29885;2122,315839;2220,082038;2457,083348;2387,40685;2624,628901;2594,751522;2798,771096;2838,503745;2855,249108;2884,425134;2996,569989;3086,165998
AIM/CGE;World;CPol;Total energy investment (supply side);Billion US$2015/yr;1277,411185;1341,37446;1416,546368;1540,429101;1657,822384;1742,672793;1847,124474;1938,021605;2168,803551;2093,30101;2324,985941;2289,810983;2488,798891;2523,756151;2535,918659;2560,663389;2668,608575;2754,311664
AIM/CGE;World;CPol;Low carbon investment;Billion US$2015/yr;477,2559814;505,6104637;559,5337135;605,3137238;645,0522581;687,6782095;741,4218747;783,8349561;847,7742925;801,3613342;863,2741191;842,7421647;899,4204744;905,8914991;909,0698654;912,9060862;991,6046581;1044,41688
AIM/CGE;World;CPol;Low carbon investment (supply side);Billion US$2015/yr;256,2559814;272,8066328;317,3599827;354,2834968;385,543109;420,0521522;466,2305097;501,7745236;559,4944956;507,2554945;563,6311589;537,8016258;589,4482693;591,1439047;589,7394162;589,1443407;663,643244;712,562546
AIM/CGE;World;CPol;Total_inv/GDP;--;2.40%;2.12%;1.92%;1.82%;1.73%;1.63%;1.56%;1.49%;1.52%;1.35%;1.37%;1.25%;1.25%;1.18%;1.11%;1.05%;1.02%;0.98%
AIM/CGE;World;CPol;LC_inv/GDP;--;0.77%;0.68%;0.65%;0.61%;0.58%;0.56%;0.55%;0.53%;0.52%;0.45%;0.45%;0.41%;0.40%;0.38%;0.35%;0.33%;0.34%;0.33%
AIM/CGE;World;CPol;Extraction and Conversion - Fossil Fuels;Billion US$2015/yr;543,8002838;568,7177478;610,0321177;668,5164135;735,982699;754,5619204;766,4265254;757,1432193;779,3664995;848,0065276;934,4325932;912,7050937;1002,080516;1000,23066;1001,621911;1004,331911;907,3942291;932,998188
AIM/CGE;World;CPol;Electricity - Fossil Fuels w/o CCS;Billion US$2015/yr;207,1841566;216,492355;202,05156;220,9836216;225,8049014;228,0135767;248,2761263;281,6063725;355,7539035;299,6856826;336,467806;346,0659073;361,5841367;379,6611641;391,9986141;401,9342289;450,6111759;425,3475567
AIM/CGE;World;CPol;Hydrogen - Fossil;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIM/CGE;World;CPol;Electricity - Non-bio Renewables;Billion US$2015/yr;125,6180952;133,4578381;160,7130587;178,4867044;189,3690962;202,3546156;223,1007715;237,3991695;257,2963784;227,3836602;254,2292992;230,3258431;256,0750252;252,5782549;248,9739803;245,4462305;277,116519;302,7151516
AIM/CGE;World;CPol;Hydrogen - Non-fossil;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIM/CGE;World;CPol;Extraction and Conversion - Bioenergy;Billion US$2015/yr;15,62019;17,4018917;20,318204;23,3200632;25,1362228;30,9733041;36,5252653;38,1433735;38,9849289;42,8591056;48,7544501;49,6369854;52,8025468;52,1182803;54,4629393;56,7983588;62,9333868;69,4235377
AIM/CGE;World;CPol;Extraction and Conversion - Nuclear;Billion US$2015/yr;75,82021575;78,31459191;72,01834952;66,5903674;70,5282431;88,30879513;94,20686023;101,29977;122,8948699;130,0629186;146,7030522;153,7397825;167,6862672;177,0912011;174,5007276;181,1442989;208,4023448;232,7080863
AIM/CGE;World;CPol;Electricity - T&D and Storage;Billion US$2015/yr;309,3682438;326,9900356;351,4130777;382,5319311;411,001222;438,4605812;478,5889254;522,4297007;614,5069706;545,3031156;604,3987402;597,3373708;648,5703983;662,0765907;664,3604864;671,008361;762,1509196;791,1191435
AIM/CGE;World;CPol;CCS;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIM/CGE;World;CPol;Energy Efficiency;Billion US$2015/yr;221;232,8038309;242,1737308;251,030227;259,5091491;267,6260573;275,191365;282,0604324;288,2797969;294,1058398;299,6429602;304,9405389;309,9722052;314,7475944;319,3304491;323,7617455;327,9614141;331,8543342
AIM/CGE;World;CPol;Energy Supply|Electricity|Coal|w/ CCS;Billion US$2015/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
